# stage, id, task_id, link_type, link_id, artifact_type, file_name, target_file
'Before', '1662', '149', 'test_metrics', '206', 'output_html', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182.htm', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182'
'Before', '1663', '149', 'test_metrics', '206', 'output_gif', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182.gif', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182'
'Before', '1664', '149', 'test_metrics', '206', 'ai_set', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182-AI-Suggest-Opt.set', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182'
'Before', '1665', '149', 'test_metrics', '206', 'ai_json', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182-AI-Suggestion.json', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182'
'Before', '1666', '149', 'test_metrics', '206', 'ai_prompt', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182-AI-Suggestion.prompt.txt', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182'
'Before', '1667', '149', NULL, NULL, 'Optimzation set_file', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182-AI-Suggest-Opt.set', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182'
'Before', '1668', '149', 'optimization_reports', '46', 'optimization_report', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182-AI-Suggest-Opt-OptimizationReport.htm', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182'
'Before', '1669', '149', 'optimization_reports', '46', 'optimization_report_gif', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182-AI-Suggest-Opt-OptimizationReport.gif', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182'
'After', '1660', '149', 'test_metrics', '206', 'output_set', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182.set', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182'
'After', '1661', '149', 'test_metrics', '206', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P-1400_DD1774_20220929-20250926_SL1900_WR44.68_PF0.34_T47_M1406717436_V1_S182'
